🌀  CYCLONE
🚅  HIGH-SPEED TRAIN WITH BULLET NOSE
🚆  TRAIN
🚇  METRO
🚈  LIGHT RAIL
🚉  STATION
🚊  TRAM
🚋  TRAM CAR
🚌  BUS
🚍  ONCOMING BUS
🚎  TROLLEYBUS
🚏  BUS STOP
🚐  MINIBUS
🚑  AMBULANCE
🚒  FIRE ENGINE
🚓  POLICE CAR
🚔  ONCOMING POLICE CAR
🚕  TAXI
🚖  ONCOMING TAXI
🚗  AUTOMOBILE
🚘  ONCOMING AUTOMOBILE
🚙  RECREATIONAL VEHICLE
🚚  DELIVERY TRUCK
🚛  ARTICULATED LORRY
🚜  TRACTOR
🚝  MONORAIL
🚞  MOUNTAIN RAILWAY
🚟  SUSPENSION RAILWAY
🚠  MOUNTAIN CABLEWAY
🚡  AERIAL TRAMWAY
🚢  SHIP
🚣  ROWBOAT
🚤  SPEEDBOAT
🚥  HORIZONTAL TRAFFIC LIGHT
🚦  VERTICAL TRAFFIC LIGHT
🚧  CONSTRUCTION SIGN
🚨  POLICE CARS REVOLVING LIGHT
🚩  TRIANGULAR FLAG ON POST
🚪  DOOR
🚫  NO ENTRY SIGN
🚬  SMOKING SYMBOL
🚭  NO SMOKING SYMBOL
🚮  PUT LITTER IN ITS PLACE SYMBOL
🚯  DO NOT LITTER SYMBOL
🚰  POTABLE WATER SYMBOL
🚱  NON-POTABLE WATER SYMBOL
🚲  BICYCLE
🚳  NO BICYCLES
🚴  BICYCLIST
🚵  MOUNTAIN BICYCLIST
🚶  PEDESTRIAN
🚷  NO PEDESTRIANS
🚸  CHILDREN CROSSING
🚹  MENS SYMBOL
🚺  WOMENS SYMBOL
🚻  RESTROOM
🚼  BABY SYMBOL
🚽  TOILET
🚾  WATER CLOSET
🚿  SHOWER
🛀  BATH
🛁  BATHTUB
🛂  PASSPORT CONTROL
🛃  CUSTOMS
🛄  BAGGAGE CLAIM
🛅  LEFT LUGGAGE
🛆  TRIANGLE WITH ROUNDED CORNERS
🛇  PROHIBITED SIGN
🛈  CIRCLED INFORMATION SOURCE
🛉  BOYS SYMBOL
🛊  GIRLS SYMBOL
🛋  COUCH AND LAMP
🛌  SLEEPING ACCOMMODATION
🛍  SHOPPING BAGS
🛎  BELLHOP BELL
🛏  BED
🛐  PLACE OF WORSHIP
🛑  OCTAGONAL SIGN
🛒  SHOPPING TROLLEY
🛓  STUPA
🛔  PAGODA
🛕  HINDU TEMPLE
🛖  HUT
🛗  ELEVATOR
🛝  PLAYGROUND SLIDE
🛞  WHEEL
🛟  RING BUOY
🛠  HAMMER AND WRENCH
🛡  SHIELD
🛢  OIL DRUM
🛣  MOTORWAY
🛤  RAILWAY TRACK
🛥  MOTOR BOAT
🛦  UP-POINTING MILITARY AIRPLANE
🛧  UP-POINTING AIRPLANE
🛨  UP-POINTING SMALL AIRPLANE
🛩  SMALL AIRPLANE
🛪  NORTHEAST-POINTING AIRPLANE
🛫  AIRPLANE DEPARTURE
🛬  AIRPLANE ARRIVING
🛰  SATELLITE
🛱  ONCOMING FIRE ENGINE
🛲  DIESEL LOCOMOTIVE
🛳  PASSENGER SHIP
🛴  SCOOTER
🛵  MOTOR SCOOTER
🛶  CANOE
🛷  SLED
🛸  FLYING SAUCER
🛹  SKATEBOARD
🛺  AUTO RICKSHAW
🛻  PICKUP TRUCK
🛼  ROLLER SKATE
🜀  ALCHEMICAL SYMBOL FOR QUINTESSENCE
🜁  ALCHEMICAL SYMBOL FOR AIR
🜂  ALCHEMICAL SYMBOL FOR FIRE
🜃  ALCHEMICAL SYMBOL FOR EARTH
🜄  ALCHEMICAL SYMBOL FOR WATER
🜅  ALCHEMICAL SYMBOL FOR AQUAFORTIS
🜆  ALCHEMICAL SYMBOL FOR AQUA REGIA
🜇  ALCHEMICAL SYMBOL FOR AQUA REGIA-2
🜈  ALCHEMICAL SYMBOL FOR AQUA VITAE
🜉  ALCHEMICAL SYMBOL FOR AQUA VITAE-2
🜊  ALCHEMICAL SYMBOL FOR VINEGAR
🜋  ALCHEMICAL SYMBOL FOR VINEGAR-2
🜌  ALCHEMICAL SYMBOL FOR VINEGAR-3
🜍  ALCHEMICAL SYMBOL FOR SULFUR
🜎  ALCHEMICAL SYMBOL FOR PHILOSOPHERS SULFUR
🜏  ALCHEMICAL SYMBOL FOR BLACK SULFUR
🜐  ALCHEMICAL SYMBOL FOR MERCURY SUBLIMATE
🜑  ALCHEMICAL SYMBOL FOR MERCURY SUBLIMATE-2
🜒  ALCHEMICAL SYMBOL FOR MERCURY SUBLIMATE-3
🜓  ALCHEMICAL SYMBOL FOR CINNABAR
🜔  ALCHEMICAL SYMBOL FOR SALT
🜕  ALCHEMICAL SYMBOL FOR NITRE
🜖  ALCHEMICAL SYMBOL FOR VITRIOL
🜗  ALCHEMICAL SYMBOL FOR VITRIOL-2
🜘  ALCHEMICAL SYMBOL FOR ROCK SALT
🜙  ALCHEMICAL SYMBOL FOR ROCK SALT-2
🜚  ALCHEMICAL SYMBOL FOR GOLD
🜛  ALCHEMICAL SYMBOL FOR SILVER
🜜  ALCHEMICAL SYMBOL FOR IRON ORE
🜝  ALCHEMICAL SYMBOL FOR IRON ORE-2
🜞  ALCHEMICAL SYMBOL FOR CROCUS OF IRON
🜟  ALCHEMICAL SYMBOL FOR REGULUS OF IRON
🜠  ALCHEMICAL SYMBOL FOR COPPER ORE
🜡  ALCHEMICAL SYMBOL FOR IRON-COPPER ORE
🜢  ALCHEMICAL SYMBOL FOR SUBLIMATE OF COPPER
🜣  ALCHEMICAL SYMBOL FOR CROCUS OF COPPER
🜤  ALCHEMICAL SYMBOL FOR CROCUS OF COPPER-2
🜥  ALCHEMICAL SYMBOL FOR COPPER ANTIMONIATE
🜦  ALCHEMICAL SYMBOL FOR SALT OF COPPER ANTIMONIATE
🜧  ALCHEMICAL SYMBOL FOR SUBLIMATE OF SALT OF COPPER
🜨  ALCHEMICAL SYMBOL FOR VERDIGRIS
🜩  ALCHEMICAL SYMBOL FOR TIN ORE
🜪  ALCHEMICAL SYMBOL FOR LEAD ORE
🜫  ALCHEMICAL SYMBOL FOR ANTIMONY ORE
🜬  ALCHEMICAL SYMBOL FOR SUBLIMATE OF ANTIMONY
🜭  ALCHEMICAL SYMBOL FOR SALT OF ANTIMONY
🜮  ALCHEMICAL SYMBOL FOR SUBLIMATE OF SALT OF ANTIMONY
🜯  ALCHEMICAL SYMBOL FOR VINEGAR OF ANTIMONY
🜰  ALCHEMICAL SYMBOL FOR REGULUS OF ANTIMONY
🜱  ALCHEMICAL SYMBOL FOR REGULUS OF ANTIMONY-2
🜲  ALCHEMICAL SYMBOL FOR REGULUS
🜳  ALCHEMICAL SYMBOL FOR REGULUS-2
🜴  ALCHEMICAL SYMBOL FOR REGULUS-3
🜵  ALCHEMICAL SYMBOL FOR REGULUS-4
🜶  ALCHEMICAL SYMBOL FOR ALKALI
🜷  ALCHEMICAL SYMBOL FOR ALKALI-2
🜸  ALCHEMICAL SYMBOL FOR MARCASITE
🜹  ALCHEMICAL SYMBOL FOR SAL-AMMONIAC
🜺  ALCHEMICAL SYMBOL FOR ARSENIC
🜻  ALCHEMICAL SYMBOL FOR REALGAR
🜼  ALCHEMICAL SYMBOL FOR REALGAR-2
🜽  ALCHEMICAL SYMBOL FOR AURIPIGMENT
🜾  ALCHEMICAL SYMBOL FOR BISMUTH ORE
🜿  ALCHEMICAL SYMBOL FOR TARTAR
🝀  ALCHEMICAL SYMBOL FOR TARTAR-2
🝁  ALCHEMICAL SYMBOL FOR QUICK LIME
🝂  ALCHEMICAL SYMBOL FOR BORAX
🝃  ALCHEMICAL SYMBOL FOR BORAX-2
🝄  ALCHEMICAL SYMBOL FOR BORAX-3
🝅  ALCHEMICAL SYMBOL FOR ALUM
🝆  ALCHEMICAL SYMBOL FOR OIL
🝇  ALCHEMICAL SYMBOL FOR SPIRIT
🝈  ALCHEMICAL SYMBOL FOR TINCTURE
🝉  ALCHEMICAL SYMBOL FOR GUM
🝊  ALCHEMICAL SYMBOL FOR WAX
🝋  ALCHEMICAL SYMBOL FOR POWDER
🝌  ALCHEMICAL SYMBOL FOR CALX
🝍  ALCHEMICAL SYMBOL FOR TUTTY
🝎  ALCHEMICAL SYMBOL FOR CAPUT MORTUUM
🝏  ALCHEMICAL SYMBOL FOR SCEPTER OF JOVE
🝐  ALCHEMICAL SYMBOL FOR CADUCEUS
🝑  ALCHEMICAL SYMBOL FOR TRIDENT
🝒  ALCHEMICAL SYMBOL FOR STARRED TRIDENT
🝓  ALCHEMICAL SYMBOL FOR LODESTONE
🝔  ALCHEMICAL SYMBOL FOR SOAP
🝕  ALCHEMICAL SYMBOL FOR URINE
🝖  ALCHEMICAL SYMBOL FOR HORSE DUNG
🝗  ALCHEMICAL SYMBOL FOR ASHES
🝘  ALCHEMICAL SYMBOL FOR POT ASHES
🝙  ALCHEMICAL SYMBOL FOR BRICK
🝚  ALCHEMICAL SYMBOL FOR POWDERED BRICK
🝛  ALCHEMICAL SYMBOL FOR AMALGAM
🝜  ALCHEMICAL SYMBOL FOR STRATUM SUPER STRATUM
🝝  ALCHEMICAL SYMBOL FOR STRATUM SUPER STRATUM-2
🝞  ALCHEMICAL SYMBOL FOR SUBLIMATION
🝟  ALCHEMICAL SYMBOL FOR PRECIPITATE
🝠  ALCHEMICAL SYMBOL FOR DISTILL
🝡  ALCHEMICAL SYMBOL FOR DISSOLVE
🝢  ALCHEMICAL SYMBOL FOR DISSOLVE-2
🝣  ALCHEMICAL SYMBOL FOR PURIFY
🝤  ALCHEMICAL SYMBOL FOR PUTREFACTION
🝥  ALCHEMICAL SYMBOL FOR CRUCIBLE
🝦  ALCHEMICAL SYMBOL FOR CRUCIBLE-2
🝧  ALCHEMICAL SYMBOL FOR CRUCIBLE-3
🝨  ALCHEMICAL SYMBOL FOR CRUCIBLE-4
🝩  ALCHEMICAL SYMBOL FOR CRUCIBLE-5
🝪  ALCHEMICAL SYMBOL FOR ALEMBIC
🝫  ALCHEMICAL SYMBOL FOR BATH OF MARY
🝬  ALCHEMICAL SYMBOL FOR BATH OF VAPOURS
🝭  ALCHEMICAL SYMBOL FOR RETORT
🝮  ALCHEMICAL SYMBOL FOR HOUR
🝯  ALCHEMICAL SYMBOL FOR NIGHT
🝰  ALCHEMICAL SYMBOL FOR DAY-NIGHT
🝱  ALCHEMICAL SYMBOL FOR MONTH
🝲  ALCHEMICAL SYMBOL FOR HALF DRAM
🝳  ALCHEMICAL SYMBOL FOR HALF OUNCE
🞀  BLACK LEFT-POINTING ISOSCELES RIGHT TRIANGLE
🞁  BLACK UP-POINTING ISOSCELES RIGHT TRIANGLE
🞂  BLACK RIGHT-POINTING ISOSCELES RIGHT TRIANGLE
🞃  BLACK DOWN-POINTING ISOSCELES RIGHT TRIANGLE
🞄  BLACK SLIGHTLY SMALL CIRCLE
🞅  MEDIUM BOLD WHITE CIRCLE
🞆  BOLD WHITE CIRCLE
🞇  HEAVY WHITE CIRCLE
🞈  VERY HEAVY WHITE CIRCLE
🞉  EXTREMELY HEAVY WHITE CIRCLE
🞊  WHITE CIRCLE CONTAINING BLACK SMALL CIRCLE
🞋  ROUND TARGET
🞌  BLACK TINY SQUARE
🞍  BLACK SLIGHTLY SMALL SQUARE
🞎  LIGHT WHITE SQUARE
🞏  MEDIUM WHITE SQUARE
🞐  BOLD WHITE SQUARE
🞑  HEAVY WHITE SQUARE
🞒  VERY HEAVY WHITE SQUARE
🞓  EXTREMELY HEAVY WHITE SQUARE
🞔  WHITE SQUARE CONTAINING BLACK VERY SMALL SQUARE
🞕  WHITE SQUARE CONTAINING BLACK MEDIUM SQUARE
🞖  SQUARE TARGET
🞗  BLACK TINY DIAMOND
🞘  BLACK VERY SMALL DIAMOND
🞙  BLACK MEDIUM SMALL DIAMOND
🞚  WHITE DIAMOND CONTAINING BLACK VERY SMALL DIAMOND
🞛  WHITE DIAMOND CONTAINING BLACK MEDIUM DIAMOND
🞜  DIAMOND TARGET
🞝  BLACK TINY LOZENGE
🞞  BLACK VERY SMALL LOZENGE
🞟  BLACK MEDIUM SMALL LOZENGE
🞠  WHITE LOZENGE CONTAINING BLACK SMALL LOZENGE
🞡  THIN GREEK CROSS
🞢  LIGHT GREEK CROSS
🞣  MEDIUM GREEK CROSS
🞤  BOLD GREEK CROSS
🞥  VERY BOLD GREEK CROSS
🞦  VERY HEAVY GREEK CROSS
🞧  EXTREMELY HEAVY GREEK CROSS
🞨  THIN SALTIRE
🞩  LIGHT SALTIRE
🞪  MEDIUM SALTIRE
🞫  BOLD SALTIRE
🞬  HEAVY SALTIRE
🞭  VERY HEAVY SALTIRE
🞮  EXTREMELY HEAVY SALTIRE
🞯  LIGHT FIVE SPOKED ASTERISK
🞰  MEDIUM FIVE SPOKED ASTERISK
🞱  BOLD FIVE SPOKED ASTERISK
🞲  HEAVY FIVE SPOKED ASTERISK
🞳  VERY HEAVY FIVE SPOKED ASTERISK
🞴  EXTREMELY HEAVY FIVE SPOKED ASTERISK
🞵  LIGHT SIX SPOKED ASTERISK
🞶  MEDIUM SIX SPOKED ASTERISK
🞷  BOLD SIX SPOKED ASTERISK
🞸  HEAVY SIX SPOKED ASTERISK
🞹  VERY HEAVY SIX SPOKED ASTERISK
🞺  EXTREMELY HEAVY SIX SPOKED ASTERISK
🞻  LIGHT EIGHT SPOKED ASTERISK
🞼  MEDIUM EIGHT SPOKED ASTERISK
🞽  BOLD EIGHT SPOKED ASTERISK
🞾  HEAVY EIGHT SPOKED ASTERISK
🞿  VERY HEAVY EIGHT SPOKED ASTERISK
🟀  LIGHT THREE POINTED BLACK STAR
🟁  MEDIUM THREE POINTED BLACK STAR
🟂  THREE POINTED BLACK STAR
🟃  MEDIUM THREE POINTED PINWHEEL STAR
🟄  LIGHT FOUR POINTED BLACK STAR
🟅  MEDIUM FOUR POINTED BLACK STAR
🟆  FOUR POINTED BLACK STAR
🟇  MEDIUM FOUR POINTED PINWHEEL STAR
🟈  REVERSE LIGHT FOUR POINTED PINWHEEL STAR
🟉  LIGHT FIVE POINTED BLACK STAR
🟊  HEAVY FIVE POINTED BLACK STAR
🟋  MEDIUM SIX POINTED BLACK STAR
🟌  HEAVY SIX POINTED BLACK STAR
🟍  SIX POINTED PINWHEEL STAR
🟎  MEDIUM EIGHT POINTED BLACK STAR
🟏  HEAVY EIGHT POINTED BLACK STAR
🟐  VERY HEAVY EIGHT POINTED BLACK STAR
🟑  HEAVY EIGHT POINTED PINWHEEL STAR
🟒  LIGHT TWELVE POINTED BLACK STAR
🟓  HEAVY TWELVE POINTED BLACK STAR
🟔  HEAVY TWELVE POINTED PINWHEEL STAR
🟕  CIRCLED TRIANGLE
🟖  NEGATIVE CIRCLED TRIANGLE
🟗  CIRCLED SQUARE
🟘  NEGATIVE CIRCLED SQUARE
🟠  LARGE ORANGE CIRCLE
🟡  LARGE YELLOW CIRCLE
🟢  LARGE GREEN CIRCLE
🟣  LARGE PURPLE CIRCLE
🟤  LARGE BROWN CIRCLE
🟥  LARGE RED SQUARE
🟦  LARGE BLUE SQUARE
🟧  LARGE ORANGE SQUARE
🟨  LARGE YELLOW SQUARE
🟩  LARGE GREEN SQUARE
🟪  LARGE PURPLE SQUARE
🟫  LARGE BROWN SQUARE
🟰  HEAVY EQUALS SIGN
🠀  LEFTWARDS ARROW WITH SMALL TRIANGLE ARROWHEAD
🠁  UPWARDS ARROW WITH SMALL TRIANGLE ARROWHEAD
🠂  RIGHTWARDS ARROW WITH SMALL TRIANGLE ARROWHEAD
🠃  DOWNWARDS ARROW WITH SMALL TRIANGLE ARROWHEAD
🠄  LEFTWARDS ARROW WITH MEDIUM TRIANGLE ARROWHEAD
🠅  UPWARDS ARROW WITH MEDIUM TRIANGLE ARROWHEAD
🠆  RIGHTWARDS ARROW WITH MEDIUM TRIANGLE ARROWHEAD
🠇  DOWNWARDS ARROW WITH MEDIUM TRIANGLE ARROWHEAD
🠈  LEFTWARDS ARROW WITH LARGE TRIANGLE ARROWHEAD
🠉  UPWARDS ARROW WITH LARGE TRIANGLE ARROWHEAD
🠊  RIGHTWARDS ARROW WITH LARGE TRIANGLE ARROWHEAD
🠋  DOWNWARDS ARROW WITH LARGE TRIANGLE ARROWHEAD
🠐  LEFTWARDS ARROW WITH SMALL EQUILATERAL ARROWHEAD
🠑  UPWARDS ARROW WITH SMALL EQUILATERAL ARROWHEAD
🠒  RIGHTWARDS ARROW WITH SMALL EQUILATERAL ARROWHEAD
🠓  DOWNWARDS ARROW WITH SMALL EQUILATERAL ARROWHEAD
🠔  LEFTWARDS ARROW WITH EQUILATERAL ARROWHEAD
🠕  UPWARDS ARROW WITH EQUILATERAL ARROWHEAD
🠖  RIGHTWARDS ARROW WITH EQUILATERAL ARROWHEAD
🠗  DOWNWARDS ARROW WITH EQUILATERAL ARROWHEAD
🠘  HEAVY LEFTWARDS ARROW WITH EQUILATERAL ARROWHEAD
🠙  HEAVY UPWARDS ARROW WITH EQUILATERAL ARROWHEAD
🠚  HEAVY RIGHTWARDS ARROW WITH EQUILATERAL ARROWHEAD
🠛  HEAVY DOWNWARDS ARROW WITH EQUILATERAL ARROWHEAD
🠜  HEAVY LEFTWARDS ARROW WITH LARGE EQUILATERAL ARROWHEAD
🠝  HEAVY UPWARDS ARROW WITH LARGE EQUILATERAL ARROWHEAD
🠞  HEAVY RIGHTWARDS ARROW WITH LARGE EQUILATERAL ARROWHEAD
🠟  HEAVY DOWNWARDS ARROW WITH LARGE EQUILATERAL ARROWHEAD
🠠  LEFTWARDS TRIANGLE-HEADED ARROW WITH NARROW SHAFT
🠡  UPWARDS TRIANGLE-HEADED ARROW WITH NARROW SHAFT
🠢  RIGHTWARDS TRIANGLE-HEADED ARROW WITH NARROW SHAFT
🠣  DOWNWARDS TRIANGLE-HEADED ARROW WITH NARROW SHAFT
🠤  LEFTWARDS TRIANGLE-HEADED ARROW WITH MEDIUM SHAFT
🠥  UPWARDS TRIANGLE-HEADED ARROW WITH MEDIUM SHAFT
🠦  RIGHTWARDS TRIANGLE-HEADED ARROW WITH MEDIUM SHAFT
🠧  DOWNWARDS TRIANGLE-HEADED ARROW WITH MEDIUM SHAFT
🠨  LEFTWARDS TRIANGLE-HEADED ARROW WITH BOLD SHAFT
🠩  UPWARDS TRIANGLE-HEADED ARROW WITH BOLD SHAFT
🠪  RIGHTWARDS TRIANGLE-HEADED ARROW WITH BOLD SHAFT
🠫  DOWNWARDS TRIANGLE-HEADED ARROW WITH BOLD SHAFT
🠬  LEFTWARDS TRIANGLE-HEADED ARROW WITH HEAVY SHAFT
🠭  UPWARDS TRIANGLE-HEADED ARROW WITH HEAVY SHAFT
🠮  RIGHTWARDS TRIANGLE-HEADED ARROW WITH HEAVY SHAFT
🠯  DOWNWARDS TRIANGLE-HEADED ARROW WITH HEAVY SHAFT
🠰  LEFTWARDS TRIANGLE-HEADED ARROW WITH VERY HEAVY SHAFT
🠱  UPWARDS TRIANGLE-HEADED ARROW WITH VERY HEAVY SHAFT
🠲  RIGHTWARDS TRIANGLE-HEADED ARROW WITH VERY HEAVY SHAFT
🠳  DOWNWARDS TRIANGLE-HEADED ARROW WITH VERY HEAVY SHAFT
🠴  LEFTWARDS FINGER-POST ARROW
🠵  UPWARDS FINGER-POST ARROW
🠶  RIGHTWARDS FINGER-POST ARROW
🠷  DOWNWARDS FINGER-POST ARROW
🠸  LEFTWARDS SQUARED ARROW
🠹  UPWARDS SQUARED ARROW
🠺  RIGHTWARDS SQUARED ARROW
🠻  DOWNWARDS SQUARED ARROW
🠼  LEFTWARDS COMPRESSED ARROW
🠽  UPWARDS COMPRESSED ARROW
🠾  RIGHTWARDS COMPRESSED ARROW
🠿  DOWNWARDS COMPRESSED ARROW
🡀  LEFTWARDS HEAVY COMPRESSED ARROW
🡁  UPWARDS HEAVY COMPRESSED ARROW
🡂  RIGHTWARDS HEAVY COMPRESSED ARROW
🡃  DOWNWARDS HEAVY COMPRESSED ARROW
🡄  LEFTWARDS HEAVY ARROW
🡅  UPWARDS HEAVY ARROW
🡆  RIGHTWARDS HEAVY ARROW
🡇  DOWNWARDS HEAVY ARROW
🡐  LEFTWARDS SANS-SERIF ARROW
🡑  UPWARDS SANS-SERIF ARROW
🡒  RIGHTWARDS SANS-SERIF ARROW
🡓  DOWNWARDS SANS-SERIF ARROW
🡔  NORTH WEST SANS-SERIF ARROW
🡕  NORTH EAST SANS-SERIF ARROW
🡖  SOUTH EAST SANS-SERIF ARROW
🡗  SOUTH WEST SANS-SERIF ARROW
🡘  LEFT RIGHT SANS-SERIF ARROW
🡙  UP DOWN SANS-SERIF ARROW
🡠  WIDE-HEADED LEFTWARDS LIGHT BARB ARROW
🡡  WIDE-HEADED UPWARDS LIGHT BARB ARROW
🡢  WIDE-HEADED RIGHTWARDS LIGHT BARB ARROW
🡣  WIDE-HEADED DOWNWARDS LIGHT BARB ARROW
🡤  WIDE-HEADED NORTH WEST LIGHT BARB ARROW
🡥  WIDE-HEADED NORTH EAST LIGHT BARB ARROW
🡦  WIDE-HEADED SOUTH EAST LIGHT BARB ARROW
🡧  WIDE-HEADED SOUTH WEST LIGHT BARB ARROW
🡨  WIDE-HEADED LEFTWARDS BARB ARROW
🡩  WIDE-HEADED UPWARDS BARB ARROW
🡪  WIDE-HEADED RIGHTWARDS BARB ARROW
🡫  WIDE-HEADED DOWNWARDS BARB ARROW
🡬  WIDE-HEADED NORTH WEST BARB ARROW
🡭  WIDE-HEADED NORTH EAST BARB ARROW
🡮  WIDE-HEADED SOUTH EAST BARB ARROW
🡯  WIDE-HEADED SOUTH WEST BARB ARROW
🡰  WIDE-HEADED LEFTWARDS MEDIUM BARB ARROW
🡱  WIDE-HEADED UPWARDS MEDIUM BARB ARROW
🡲  WIDE-HEADED RIGHTWARDS MEDIUM BARB ARROW
🡳  WIDE-HEADED DOWNWARDS MEDIUM BARB ARROW
🡴  WIDE-HEADED NORTH WEST MEDIUM BARB ARROW
🡵  WIDE-HEADED NORTH EAST MEDIUM BARB ARROW
🡶  WIDE-HEADED SOUTH EAST MEDIUM BARB ARROW
🡷  WIDE-HEADED SOUTH WEST MEDIUM BARB ARROW
🡸  WIDE-HEADED LEFTWARDS HEAVY BARB ARROW
🡹  WIDE-HEADED UPWARDS HEAVY BARB ARROW
🡺  WIDE-HEADED RIGHTWARDS HEAVY BARB ARROW
🡻  WIDE-HEADED DOWNWARDS HEAVY BARB ARROW
🡼  WIDE-HEADED NORTH WEST HEAVY BARB ARROW
🡽  WIDE-HEADED NORTH EAST HEAVY BARB ARROW
🡾  WIDE-HEADED SOUTH EAST HEAVY BARB ARROW
🡿  WIDE-HEADED SOUTH WEST HEAVY BARB ARROW
🢀  WIDE-HEADED LEFTWARDS VERY HEAVY BARB ARROW
🢁  WIDE-HEADED UPWARDS VERY HEAVY BARB ARROW
🢂  WIDE-HEADED RIGHTWARDS VERY HEAVY BARB ARROW
🢃  WIDE-HEADED DOWNWARDS VERY HEAVY BARB ARROW
🢄  WIDE-HEADED NORTH WEST VERY HEAVY BARB ARROW
🢅  WIDE-HEADED NORTH EAST VERY HEAVY BARB ARROW
🢆  WIDE-HEADED SOUTH EAST VERY HEAVY BARB ARROW
🢇  WIDE-HEADED SOUTH WEST VERY HEAVY BARB ARROW
🢐  LEFTWARDS TRIANGLE ARROWHEAD
🢑  UPWARDS TRIANGLE ARROWHEAD
🢒  RIGHTWARDS TRIANGLE ARROWHEAD
🢓  DOWNWARDS TRIANGLE ARROWHEAD
🢔  LEFTWARDS WHITE ARROW WITHIN TRIANGLE ARROWHEAD
🢕  UPWARDS WHITE ARROW WITHIN TRIANGLE ARROWHEAD
🢖  RIGHTWARDS WHITE ARROW WITHIN TRIANGLE ARROWHEAD
🢗  DOWNWARDS WHITE ARROW WITHIN TRIANGLE ARROWHEAD
🢘  LEFTWARDS ARROW WITH NOTCHED TAIL
🢙  UPWARDS ARROW WITH NOTCHED TAIL
🢚  RIGHTWARDS ARROW WITH NOTCHED TAIL
🢛  DOWNWARDS ARROW WITH NOTCHED TAIL
🢜  HEAVY ARROW SHAFT WIDTH ONE
🢝  HEAVY ARROW SHAFT WIDTH TWO THIRDS
🢞  HEAVY ARROW SHAFT WIDTH ONE HALF
🢟  HEAVY ARROW SHAFT WIDTH ONE THIRD
🢠  LEFTWARDS BOTTOM-SHADED WHITE ARROW
🢡  RIGHTWARDS BOTTOM SHADED WHITE ARROW
🢢  LEFTWARDS TOP SHADED WHITE ARROW
🢣  RIGHTWARDS TOP SHADED WHITE ARROW
🢤  LEFTWARDS LEFT-SHADED WHITE ARROW
🢥  RIGHTWARDS RIGHT-SHADED WHITE ARROW
🢦  LEFTWARDS RIGHT-SHADED WHITE ARROW
🢧  RIGHTWARDS LEFT-SHADED WHITE ARROW
🢨  LEFTWARDS BACK-TILTED SHADOWED WHITE ARROW
🢩  RIGHTWARDS BACK-TILTED SHADOWED WHITE ARROW
🢪  LEFTWARDS FRONT-TILTED SHADOWED WHITE ARROW
🢫  RIGHTWARDS FRONT-TILTED SHADOWED WHITE ARROW
🢬  WHITE ARROW SHAFT WIDTH ONE
🢭  WHITE ARROW SHAFT WIDTH TWO THIRDS
🢰  ARROW POINTING UPWARDS THEN NORTH WEST
🢱  ARROW POINTING RIGHTWARDS THEN CURVING SOUTH WEST
🤀  CIRCLED CROSS FORMEE WITH FOUR DOTS
🤁  CIRCLED CROSS FORMEE WITH TWO DOTS
🤂  CIRCLED CROSS FORMEE
🤃  LEFT HALF CIRCLE WITH FOUR DOTS
🤄  LEFT HALF CIRCLE WITH THREE DOTS
🤅  LEFT HALF CIRCLE WITH TWO DOTS
🤆  LEFT HALF CIRCLE WITH DOT
🤇  LEFT HALF CIRCLE
🤈  DOWNWARD FACING HOOK
🤉  DOWNWARD FACING NOTCHED HOOK
🤊  DOWNWARD FACING HOOK WITH DOT
🤋  DOWNWARD FACING NOTCHED HOOK WITH DOT
🤌  PINCHED FINGERS
🤍  WHITE HEART
🤎  BROWN HEART
🤏  PINCHING HAND
🤐  ZIPPER-MOUTH FACE
🤑  MONEY-MOUTH FACE
🤒  FACE WITH THERMOMETER
🤓  NERD FACE
🤔  THINKING FACE
🤕  FACE WITH HEAD-BANDAGE
🤖  ROBOT FACE
🤗  HUGGING FACE
🤘  SIGN OF THE HORNS
🤙  CALL ME HAND
🤚  RAISED BACK OF HAND
🤛  LEFT-FACING FIST
🤜  RIGHT-FACING FIST
🤝  HANDSHAKE
🤞  HAND WITH INDEX AND MIDDLE FINGERS CROSSED
🤟  I LOVE YOU HAND SIGN
🤠  FACE WITH COWBOY HAT
🤡  CLOWN FACE
🤢  NAUSEATED FACE
🤣  ROLLING ON THE FLOOR LAUGHING
🤤  DROOLING FACE
🤥  LYING FACE
🤦  FACE PALM
🤧  SNEEZING FACE
🤨  FACE WITH ONE EYEBROW RAISED
🤩  GRINNING FACE WITH STAR EYES
🤪  GRINNING FACE WITH ONE LARGE AND ONE SMALL EYE
🤫  FACE WITH FINGER COVERING CLOSED LIPS
🤬  SERIOUS FACE WITH SYMBOLS COVERING MOUTH
🤭  SMILING FACE WITH SMILING EYES AND HAND COVERING MOUTH
🤮  FACE WITH OPEN MOUTH VOMITING
🤯  SHOCKED FACE WITH EXPLODING HEAD
🤰  PREGNANT WOMAN
🤱  BREAST-FEEDING
🤲  PALMS UP TOGETHER
🤳  SELFIE
🤴  PRINCE
🤵  MAN IN TUXEDO
🤶  MOTHER CHRISTMAS
🤷  SHRUG
🤸  PERSON DOING CARTWHEEL
🤹  JUGGLING
🤺  FENCER
🤻  MODERN PENTATHLON
🤼  WRESTLERS
🤽  WATER POLO
🤾  HANDBALL
🤿  DIVING MASK
🥀  WILTED FLOWER
🥁  DRUM WITH DRUMSTICKS
